,Plot,Genre
10,"The movie opens with Lee separating from his mother in Antigua. His mother has to leave him at home due to her job. In subsequent days, as a lone teenager, Malvo comes in contact with John. Muhammad is living with his three children - one daughter and two sons. After spending some time together, Muhammad and Malvo move to Tacoma, Washington. Muhammad, along with Malvo, starts living there with his girlfriend, Angela (Cassandra Freeman). Muhammad starts introducing Malvo as his son. Muhammad subsequently meets his old time friend, Ray (Tim Blake Nelson), while going for a jog with Malvo. Ray introduces Malvo to guns. Malvo turns out to be a natural marksman. One day, Muhammad tries to contact his children in Maryland but is unsuccessful due to a restraining order. Frustrated by this, Muhammad comes home and has a spat with Angela over some petty issue. Angela subsequently throws both the men out of her house. Muhammad and Malvo move in with Ray and his family. Ray lives with his wife (Joey Lauren Adams) and toddler son. Malvo discovers a cache of arms in Ray's basement. Gradually, Muhammad brainwashes an impressionable Malvo into committing murders. Malvo commits his first murder by shooting a neighbor (Maya Woods) point-blank in the head. Muhammad encourages Malvo to commit more murders in order to pay back the favor of bringing Malvo to the U.S. Malvo commits his next murder by shooting a pub owner (Bruce Kirkpatrick) in the back and then robbing him. With the robbery money, Muhammad and Malvo buy a Caprice Classic. Muhammad subsequently teaches Malvo to drive. Muhammad also modifies the car trunk so as to make a rectangular slit in the rear which is later used to shoot a sniper rifle from. John Muhammad and Lee Malvo subsequently conduct a siege of terror on the Washington, D.C. metropolitan area. They conduct a series of random shootings in public places. They use a rifle fired from the trunk of a blue Chevrolet Caprice. One night, while parked in a no-parking spot, the local police department catches up with them and subsequently the FBI is shown as taking over the investigation. After five months, Malvo is held in Graymore State Prison, Virginia. He is visited by a female lawyer (Linda Powell) who tries to question him about the motives of all the random killings. Malvo remains stubborn and asks, ""Where is my father?"" The movie closes with Aspen Hill City Police escorting Malvo back to the prison cell.",drama
11,"Srirangam Brothers - Srinivasachari (K Viswanath) and Ranga (Srikanth) - are versatile Carnatic musicians. Srinivasachari is happily married but has no children. Ranga is a widower with two children. Srirangam Brothers are the biggest music directors in the Telugu film industry (Tollywood) and compose music for only traditional and classical genres. Srirangam Brothers always try to help aspiring singers in their music compositions. Surekha (Laya), a TV anchor, falls in love with Ranga and they get married.
After marriage, Surekha, who initially respects her brother-in-law, starts to develop ill feelings towards him and becomes envious that even though her husband Ranga is the main factor for the music duo's success and has equal contribution in Srirangam Brothers music scores, Srinivasachari is the one who gets all the credit.
When Srinivasachari is awarded the Padmasri by the Government of India, Surekha rejects her sister's gifted saree and shows no inclination to come along with her family to attend Srinivasachari's felicitation by the President. Also, Surekha starts to show her hostile and disrespectful behavior towards Srinivasachari.
This situation provokes Srinivasachari who starts behaving unpredictably and lashes out at a film producer about his brother's music compositions (during his music sitting) and also at the media. When Ranga in his office becomes aware of this situation through the film producer, he returns home only to get dispirited to see Ranga's sister-in-law getting slapped by her husband, which leads to a heated argument between the two brothers and the family gets separated.
Surekha slowly understands Srinivasachari's and Ranga's music calibre and realizes that the two brothers can only excel in their music when they stay united. This transformation in Surekha eventually leads to the unity of the family just like Srirangam Brothers' different blends excel when they compose their music together.",drama
12,"Los Angeles psychologist Chapman (Andrew Duggan) and his assistant Paul Radford (Efrem Zimbalist Jr) are looking for volunteers for their sex survey, and four women volunteer: Sarah Garnell (Shelley Winters), a middle-aged woman who is having an affair with young theater director Fred Linden (Ray Danton); Teresa Harnish (Glynis Johns), a happily married woman who becomes attracted to brawny football player Ed Kraski (Ty Hardin); Naomi Shields (Claire Bloom), an alcoholic nymphomaniac who takes up with an unsavory jazz musician; and Kathleen Barclay (Jane Fonda), a young widow who thinks she is frigid.[4]",drama
13,"An orphan boy in 1830s London is abused in a workhouse, then falls into the clutches of a gang of thieves.",drama
14,"Near the end of World War II in Europe, American soldier Sergeant David Brent (James Best) loses two men and is himself wounded while hunting down and killing a sniper in a German city. He falls unconscious in front of a young German woman, Helga Schiller (Susan Cummings). When he awakes, he finds that she has tended his wound rather than killing him. She also protects him from her bitter younger brother, Franz (Harold Daye). When the SS set up an artillery observation post in Helga's building, she hides David to prove she is not a Nazi. Later, the Americans capture the city, and David is sent to a hospital.
After Germany surrenders, David returns to the city and marries Helga, despite being warned by his commanding officer. Because American soldiers are verboten (forbidden) to fraternize with German women, he resigns from the Army and goes to work in the Food Office of the Military Government.
One day, Helga spots a friend, returning German soldier Bruno Eckhart (Tom Pittman). She breaks the news to him that his parents were killed by Allied bombs and his girlfriend committed suicide because she mistakenly believed the Russians were coming. Bruno congratulates her on landing someone she herself calls her ""American goldmine"". She persuades David to vouch for him, which enables Bruno to get one of the scarce good jobs, as a policeman. What neither Helga nor David know is that Bruno is a member of Werwolf, a Nazi organization bent on regaining control of Germany, beginning with sabotage and sneak attacks. Bruno uses his position to infiltrate other Werwolf members into the government and becomes their leader. Franz also joins the organization.
When a food shipment is hijacked by Werwolf, the German civilians blame the Americans and demonstrate in front of the building where David works. David is fired after he foolishly attacks their spokesman and is pummeled by the mob. Bruno turns David against Helga, even though she is pregnant, by telling the American that she married him only for the food and shelter he could provide. When David confronts Helga, she admits that it was true to begin with, but that she eventually fell in love with him; he does not believe her and storms out.
Meanwhile, Franz's conscience begins troubling him after he witnesses an incident at Bruno's secret Werwolf headquarters in a railroad boxcar. After a Werwolf bitterly protests against the theft of medicine intended for the German people, Bruno stabs him to death. When Franz has a nightmare about the murder, Helga discovers that he is part of Werwolf. Determined to show him the error of his ways, she takes him to the first session of the Nuremberg Trials. Horrified by what he learns, he reveals what he knows, enabling the Americans to smash the Werwolf operation in the area. Upon learning what Helga did, David reconciles with her. Franz goes to the boxcar to retrieve an invaluable list of Werwolf members, but is caught in the act by Bruno. In the ensuing struggle, Franz manages to knock Bruno out, but is trapped inside when the boxcar catches fire. David rushes in and rescues his brother-in-law.",drama
15,"Dr. Helen Hunt is a physician married to millionaire Peter Judson Kirk Jr., who is jealous his wife is spending too much time with her male patients. He makes a fool of himself trying to prove her guilt, which causes his wife to leave. But then he puts up the money for a new hospital and she comes back to him.[3]",comedy
16,"A cafe worker is violently jolted from her day-to-day existence when offered the startling revelation that this world may be on the brink of destruction, revolution, or both.[1]",drama
17,"Shivasagar (Upendra), a wheelchair user, has a son, Vijay (also Upendra) who is playful and irresponsible. To teach him a lesson, he sends Vijay to Bhamapura to help the poor. Vijay doesn't want to go, but a local pizza restaurateur convinces Vijay and his friends that the village is one big brothel. In reality, Bhamapura is a sacred village and the restaurateur had purposefully deceived Vijay and his friends. Divya (Soundarya Jayamala) and her classmates also visit the village. They come for their social activity course to improve the village's health and hygiene. A large building is reserved for him and the girls are asked to stay in the poor families' houses. Vijay and his friends arrive and start to woo the girls, whom they mistake for Bhamapura's prostitutes. When Divya discovers their plan, she and her friends decide to teach Vijay and his friends a lesson.
Vijay and his friends are wooed by Divya and the other girls. They are led to separate rooms where the girls inject a serum that makes them itch all over. They leave, screaming and scratching. Vijay tells Divya to leave her profession and offers to save her honour by marrying her in the village temple the next day. Divya doesn't come, but Vijay and his friends happen to see her leaving on a bus bearing the name of the girls' college, revealing that they have been duped. When Vijay returns home, Shivsagar discovers that his son has fallen in love. With his influence, Vijay and Divya get engaged. Later, Vijay goes to Divya's house in a drunken state. Her family prevent him from talking to her. This eventually leads to a fight. Vijay then goes to Divya's cousin's house to meet Divya and apologise for his behaviour but suddenly attempts to rape Divya's cousin. Then on the same day at night, Vijay tries to kill Shivasagar, but is luckily stopped by Ko Thanda (Ramesh Bhat) and is stabbed by Vijay. Disappointed with Vijay's behaviour, Shivasagar sends Vijay to a therapist.
Here enters Ajay (Upendra's third role), Vijay's twin. Assuming Vijay's identity, he had taken money from the bank, got drunk and went to Divya's place and attempted to rape Divya's cousin. Ajay hates Shivasagar for leaving him and his mentally-challenged mother (Catherine Tresa). Later, Divya manages to sneak into Vijay's room in the hospital and believes his explanation that he is innocent. She leaves and shortly afterwards, Ajay appears, smuggles and dumps Vijay out of the hospital, takes over his identity and goes to kill Shivasagar. The father notices that it's not his son and gets out of his wheelchair to defend himself. Vijay arrives at the scene, surprised that his father is able to walk and demands an explanation.
Shivasagar tells him that he was a dancer who behaved effeminately due to dancing. His mother had arranged for Shivasagar to marry her friend's daughter (Ajay's mother). He agreed but the girl rejected Shivasagar for being too feminine and insults him in front of the wedding crowd. Unable to bear the embarrassment, Shivasagar's mother died on the spot. Shivasagar, enraged, raped the girl, a deed that resulted in her becoming pregnant. The doctor refused to give her an abortion and so Vijay was born. Shivasagar takes his child from her mother saying the child would be the only hope of his life. Shivasagar says he is ignorant of Ajay's existence and the reason for his resemblance to them.
Ajay escapes and threatens Vijay and Divya's wedding. Shivasagar attempts to stop him when Ajay's grandmother arrives and explains that Ajay is also Shivasagar's son and Vijay's twin and that Ajay's mother went mad when Ajay was about to get hit by a lorry. Ajay realises his mistake. He wants Shivasagar to shoot him, but the police misunderstand and think that Ajay is pointing a gun at Shivasagar and they fire at Ajay. Shivasagar intervenes and is shot instead. Ajay accepts Shivasagar's apology and is then arrested. Ajay's mother does not accept food from anyone, until Vijay comes dressed up as Ajay and feeds her. The film ends with Vijay stating that Shivasagar is the godfather of the family.",drama
18,"The woman (Basabdatta Chatterjee) works in a handbag factory while the man (Ritwick Chakraborty) works the night shift at a printing press. The film follows that young married couple as they go about their day, how they stay apart all day long except one brief moment when they get to be with each other. The entire movie has no dialogues. It has background music and some classic old songs thrown in for a soothing effect.",drama
19,"In 932 AD, King Arthur and his squire, Patsy, travel throughout Britain searching for men to join the Knights of the Round Table. In Arthur's travels, he recruits Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Galahad the Pure, and Sir Robin the Not-Quite-So-Brave-as-Sir-Lancelot, along with their squires and Robin's troubadours. Arthur leads the men to Camelot, but decides it is ""a silly place"" and sets off elsewhere. As they turn away, God speaks to them and gives Arthur the task to find the Holy Grail.
Arthur and his men search the land for clues to the Grail. They come to a castle occupied by French soldiers who claim to have the Grail but otherwise insult the Englishmen. Arthur and his men come up with a plan to sneak in using a Trojan Rabbit, but they completely mishandle its execution and are forced away. Arthur decides that the knights should go their separate ways to search for clues to the Grail's location. A modern-day historian being filmed for a documentary and describing the Arthurian legends is abruptly killed by a knight on horseback, triggering a police investigation.
On the knights travels, Arthur and Bedevere attempt to satisfy the strange requests of the dreaded Knights Who Say Ni. Sir Robin avoids a fight with the Three-headed Giant by running away while the heads are arguing. Sir Galahad is led by a grail-shaped beacon to Castle Anthrax, populated by women, but to Galahad's chagrin, he is ""rescued"" by Lancelot. Sir Lancelot, after finding a note from Swamp Castle believed to be from a lady being forced to marry against her will, rushes the castle and kills nearly the entire wedding party within, only to discover that the note was sent by an effeminate prince.
Arthur and his knights regroup and are joined by other brother Maynard and monk followers. They meet Tim the Enchanter, who directs them to a cave where the location of the Grail is said to be written, but guarded by the deadly Rabbit of Caerbannog. After the Rabbit kills several of the knights, Arthur uses the Holy Hand Grenade of Antioch provided by Maynard to destroy the creature. Inside, they find the inscription from Joseph of Arimathea, directing them to the Castle of Aarrgh. After evading a giant monster, they arrive at the Bridge of Death and must answer three questions from the bridge-keeper to pass. Lancelot answers first and correctly, and passes on. Sirs Robin and Galahad fail to answer correctly and are thrown over the bridge, while Arthur tricks the bridge-keeper, allowing him and Bedevere to pass.
When Arthur and Bedevere finish crossing, they cannot find Lancelot, unaware he was arrested by modern-day policemen investigating the historian's death. Arthur and Bedevere find the Castle of Aarrgh, but discover it is occupied by the French. They amass a large army of knights to assault the castle, when suddenly a large police force shows up, arrests Arthur and Bedevere for the historian's death, and shuts down the film's production.",comedy
20,"In 1903, American seaman Henry Adams (Gregory Peck) is stranded penniless in Britain and gets caught up in an unusual wager between two wealthy, eccentric brothers, Oliver (Ronald Squire) and Roderick Montpelier (Wilfrid Hyde-White). They persuade the Bank of England to issue a one million pound banknote, which they present to Adams in an envelope, only telling him that it contains some money. The reason for this is that Oliver believes that the mere existence of the note will enable the possessor to obtain whatever he needs, while Roderick insists that it would actually have to be spent for it to be of any use.
Once Adams gets over the shock of discovering how much the note is worth, he tries to return it to the brothers, but is told that they have left for a month. He then finds a letter in the envelope, explaining the wager and promising him a job if he can avoid spending the note for the month.
At first, everything goes as Oliver had predicted. Adams is mistaken for an eccentric millionaire and has no trouble getting food, clothes, and a hotel suite on credit, just by showing his note. The story of the note is reported in the newspapers. Adams is welcomed into exclusive social circles, meeting the American ambassador and English aristocracy. He becomes very friendly with Portia Lansdowne (Jane Griffiths), the niece of the Duchess of Cromarty. Then fellow American Lloyd Hastings (Hartley Power) asks him to back a business venture. Hastings tells Adams that he does not have to put up any money himself; the mere association will allow Hastings to raise the money that he needs to start up a gold mine by selling shares.
Trouble arises when the Duke of Frognal (A. E. Matthews), who had been unceremoniously evicted from the suite Adams now occupies, hides the note as a joke. When Adams is unable to produce the note, panic breaks out amongst the shareholders and Adams' creditors. All is straightened out in the end, and Adams is able to return the note to the Montpelier brothers at the end of the month.",comedy
21,"The film follows the lives of a group of gay friends in West Hollywood. Among the group is Dennis (Timothy Olyphant), a photographer who often holds the group together; Cole (Dean Cain) a handsome, charismatic actor who — often unwittingly — ends up with other people's boyfriends; Benji (Zach Braff), the youngest member of the group, with a penchant for gym-bodied men, who finds himself going through some bad times; Howie (Matt McGrath), a psychology student who is known for overthinking every situation; Patrick (Ben Weber), the cynic of the group; and Taylor (Billy Porter), who has just broken up with his long-term boyfriend.
Guiding them is restaurant owner Jack (John Mahoney) who provides them with advice and jobs for some of them who work part-time as servers at his restaurant. But when tragedy strikes, and the group's newest member, 23-year-old Kevin (Andrew Keegan), attempts to fit in, their friendships are put to the test.
The film also stars Nia Long, Mary McCormack and Justin Theroux, and features a cameo by Kerr Smith, who knew the director through their work on Dawson's Creek and enjoyed the script so much he asked to be a part of it, and Jennifer Coolidge as the hairdresser Betty, that all the guys, with the exception of Howie, go to for hair therapy.",comedy
22,"Jennifer Peters is a normal girl except for one unfortunate trait. All the women in her family stop any mechanical contrivance that they travel in. As the film progresses, Jennifer stops her boyfriend's automobile, then a train she travels in without being aware of what she does. Tension mounts when a girlfriend takes ill and Jennifer takes her job; an air hostess on a Liberator airliner!",comedy
23,"After he inherits some money, Harold Bissonette (mispronounced by his pompous wife as ""biss-on-ay"") decides to give up the grocery business, move to California and run an orange grove. Despite his family's objections and the news that the land he bought is worthless, Bissonette packs up and drives out to California with his nagging wife Amelia (Kathleen Howard), self-involved daughter Mildred (Jean Rouverol) and bothersome son Norman (Tommy Bupp). As they pass several prosperous orange groves, his wife softens and figures he made a good purchase. The information about the orange grove is confirmed: his barren plot contains only a tumbledown shack, and a tumbleweed. Disgusted, his wife and family are walking out on him. As he sits down on the car's running board, the car collapses under his weight.
However, just when Harold is about to lose all hope, his luck takes a dramatic turn: a neighbor informs him that a developer is desperate to acquire his land in order to build a grandstand for a race track. Finally standing up for himself, and to his nagging wife, Harold holds out for a large sum of money (including a commission for the friendly neighbor), as well as a demand that the developer buy him an orange grove like the one in the brochure he has been carrying throughout the film. The film ends with Harold sitting at an outdoor breakfast table squeezing orange juice into a glass, while his happy family takes off for a ride in their new car. The now-contented Harold pours a flask of booze into the small amount of orange juice in the glass.
The film is a chronicle of the "" many titanic struggles between Harold Bissonnette and the universe. There will be battle of wills between father and daughter, between male and female, between man and a variety of uncontrollable objects.""[3]
The plot is almost secondary to the series of routines which make up the film. Over the course of the picture, Harold fails to prevent a blind customer (and Baby LeRoy) from turning his store into a disaster area; attempts to share a bathroom mirror with his self-centered, high-pitched gargling daughter; has a destructive picnic on private property; and in the film's lengthy centerpiece, is driven to sleep on the porch by his haranguing wife, and is kept awake all night by neighbors (including further trouble with the mother of the baby who caused damage in his grocery store), salesmen, and assorted noises and calamities.
A well-known, and often somewhat misquoted Fields comment occurs at the climax of the film, as Harold is haggling with the developer, who angrily claims that Harold is drunk. Harold responds, ""Yeah, and you're crazy; and I'll be sober tomorrow and ... you'll be crazy for the rest of your life!""
The windfall for Fields' character and the resultant happy ending of this film echo the climax of his earlier 1934 release, Man on the Flying Trapeze.",comedy
